t;alpha;omega
87.5;0.313862;3.07745e-06
87.6;0.313863;3.04701e-06
87.7;0.313863;2.96535e-06
87.8;0.313863;2.83521e-06
87.9;0.313864;2.66012e-06
88;0.313864;2.44426e-06
88.1;0.313864;2.19242e-06
88.2;0.313864;1.90984e-06
88.3;0.313864;1.60217e-06
88.4;0.313865;1.27534e-06
88.5;0.313865;9.35446e-07
88.6;0.313865;5.88633e-07
88.7;0.313865;2.41012e-07
88.8;0.313865;-1.01458e-07
88.9;0.313865;-4.33065e-07
89;0.313865;-7.48435e-07
89.1;0.313865;-1.04262e-06
89.2;0.313865;-1.31115e-06
89.3;0.313864;-1.55012e-06
89.4;0.313864;-1.75626e-06
89.5;0.313864;-1.9269e-06
89.6;0.313864;-2.06008e-06
89.7;0.313864;-2.15452e-06
89.8;0.313863;-2.20965e-06
89.9;0.313863;-2.22557e-06
90;0.313863;-2.20306e-06
90.1;0.313863;-2.14351e-06
90.2;0.313863;-2.04895e-06
90.3;0.313862;-1.92191e-06
90.4;0.313862;-1.76543e-06
90.5;0.313862;-1.58297e-06
90.6;0.313862;-1.37834e-06
90.7;0.313862;-1.15562e-06
90.8;0.313862;-9.19107e-07
90.9;0.313862;-6.73197e-07
91;0.313861;-4.22345e-07
91.1;0.313861;-1.70966e-07
91.2;0.313861;7.66303e-08
91.3;0.313861;3.16318e-07
91.4;0.313862;5.44213e-07
91.5;0.313862;7.56737e-07
91.6;0.313862;9.50672e-07
91.7;0.313862;1.1232e-06
91.8;0.313862;1.27194e-06
91.9;0.313862;1.395e-06
92;0.313862;1.49095e-06
92.1;0.313862;1.55887e-06
92.2;0.313862;1.59836e-06
92.3;0.313863;1.6095e-06
92.4;0.313863;1.59285e-06
92.5;0.313863;1.54944e-06
92.6;0.313863;1.48073e-06
92.7;0.313863;1.38855e-06
92.8;0.313863;1.27512e-06
92.9;0.313864;1.14294e-06
93;0.313864;9.94751e-07
93.1;0.313864;8.33528e-07
93.2;0.313864;6.62367e-07
93.3;0.313864;4.84456e-07
93.4;0.313864;3.03013e-07
93.5;0.313864;1.21232e-07
93.6;0.313864;-5.7773e-08
93.7;0.313864;-2.3102e-07
93.8;0.313864;-3.95702e-07
93.9;0.313864;-5.49236e-07
94;0.313864;-6.89296e-07
94.1;0.313864;-8.13849e-07
94.2;0.313864;-9.21182e-07
94.3;0.313863;-1.00992e-06
94.4;0.313863;-1.07904e-06
94.5;0.313863;-1.12789e-06
94.6;0.313863;-1.15618e-06
94.7;0.313863;-1.16396e-06
94.8;0.313863;-1.15166e-06
94.9;0.313863;-1.12002e-06
95;0.313863;-1.07008e-06
95.1;0.313863;-1.00321e-06
95.2;0.313863;-9.20981e-07
95.3;0.313862;-8.25216e-07
95.4;0.313862;-7.17909e-07
95.5;0.313862;-6.01202e-07
95.6;0.313862;-4.77337e-07
95.7;0.313862;-3.48622e-07
95.8;0.313862;-2.17384e-07
95.9;0.313862;-8.59324e-08
96;0.313862;4.3483e-08
96.1;0.313862;1.68706e-07
96.2;0.313862;2.87709e-07
96.3;0.313862;3.98625e-07
96.4;0.313862;4.99777e-07
96.5;0.313862;5.89695e-07
96.6;0.313862;6.67145e-07
96.7;0.313862;7.31136e-07
96.8;0.313863;7.80934e-07
96.9;0.313863;8.16066e-07
97;0.313863;8.36323e-07
97.1;0.313863;8.41756e-07
97.2;0.313863;8.32668e-07
97.3;0.313863;8.09601e-07
97.4;0.313863;7.73321e-07
97.5;0.313863;7.248e-07
97.6;0.313863;6.65193e-07
97.7;0.313863;5.95815e-07
97.8;0.313863;5.18109e-07
97.9;0.313863;4.33627e-07
98;0.313863;3.4399e-07
98.1;0.313863;2.50868e-07
98.2;0.313863;1.55943e-07
98.3;0.313863;6.08861e-08
98.4;0.313863;-3.2677e-08
98.5;0.313863;-1.23188e-07
98.6;0.313863;-2.09181e-07
98.7;0.313863;-2.8931e-07
98.8;0.313863;-3.62361e-07
98.9;0.313863;-4.27276e-07
99;0.313863;-4.83162e-07
99.1;0.313863;-5.29307e-07
99.2;0.313863;-5.65181e-07
99.3;0.313863;-5.90446e-07
99.4;0.313863;-6.04952e-07
99.5;0.313863;-6.0874e-07
99.6;0.313863;-6.0203e-07
99.7;0.313863;-5.85216e-07
99.8;0.313863;-5.58855e-07
99.9;0.313863;-5.23653e-07
100;0.313863;-4.80444e-07
