Method;Start_X0;Start_X1;Opt_X0;Opt_X1;Func_Value;Func_Calls;Step_Size
HJ;-0.620868;-0.043866;-0.774715;1.85839e-07;0,619837;128;0.11
HJ;-0.558283;0.830974;-0.774716;0.774716;1,23967;119;0.11
HJ;0.50689;0.00424168;0.774716;-5.66856e-07;0,619837;124;0.11
HJ;-0.996231;-0.339466;-0.774716;2.9418e-07;0,619837;134;0.11
HJ;-0.938656;-0.916147;-0.774716;-0.774715;1,23967;135;0.11
HJ;-0.0802127;-0.757068;7.01824e-08;-0.774716;0,619837;127;0.11
HJ;0.591617;0.0463801;0.774715;7.0133e-07;0,619837;147;0.11
HJ;0.38559;-0.467398;0.774716;-0.774716;1,23967;134;0.11
HJ;-0.388517;0.578215;-6.02187e-07;0.774716;0,619837;126;0.11
HJ;-0.638335;-0.522287;-0.774715;-0.774716;1,23967;134;0.11
HJ;-0.635924;0.0713949;-0.774716;1.07799e-07;0,619837;131;0.11
HJ;-0.165327;0.825873;2.67711e-07;0.774715;0,619837;125;0.11
HJ;0.539597;-0.680632;0.774716;-0.774716;1,23967;140;0.11
HJ;-0.55294;0.879721;-0.774716;0.774716;1,23967;121;0.11
HJ;0.000799299;0.11413;2.9923e-07;2.47908e-07;4,81E-12;111;0.11
HJ;-0.762906;0.283108;-0.774716;2.45015e-07;0,619837;134;0.11
HJ;-0.611925;0.596717;-0.774716;0.774716;1,23967;138;0.11
HJ;0.333744;-0.62915;3.26371e-07;-0.774716;0,619837;137;0.11
HJ;0.317556;-0.209634;-6.55748e-08;-6.33287e-07;1,29E-11;122;0.11
HJ;0.430698;0.312085;0.774716;4.9342e-07;0,619837;129;0.11
HJ;0.564907;-0.76492;0.774715;-0.774716;1,23967;103;0.11
Rosen;-0.249794;0.556393;-2.72177e-07;0.774716;0,619837;169;0.11
Rosen;0.732649;0.489722;0.774716;0.774716;1,23967;157;0.11
Rosen;-0.449301;0.73847;-2.63339e-08;0.774716;0,619837;193;0.11
